FOODID;FOODNAME;FOODTYPE;PROCESS;EDPORT;IGCLASS;IGCLASSP;FUCLASS;FUCLASSP
1;Sokeri;FOOD;IND;100;SUGARSYR;SUGARTOT;SUGADD;SUGARTOT
2;Fruktoosi, hedelmäsokeri;FOOD;IND;100;SUGARSYR;SUGARTOT;SUGADD;SUGARTOT
3;Siirappi;FOOD;IND;100;SUGARSYR;SUGARTOT;SUGADD;SUGARTOT
4;Hunaja;FOOD;RAW;100;SUGARSYR;SUGARTOT;SUGADD;SUGARTOT
5;Makeinen, karamelli;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
6;Suklaa, keskiarvo;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
7;Suklaakonvehti, marmeladitäyte;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
8;Lakritsi;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
9;Makeinen, marmeladimakeinen;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
10;Marsipaani, mantelimassa;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
11;Makeinen, toffee;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
12;Makeinen, salmiakkipastilli;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
14;Suklaapatukka suklainen, keskiarvo;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
20;Kaakaojauhe, ei lisättyä sokeria;FOOD;IND;100;INGRMIS;INGRTOT;CHOCOL;SUGARTOT
21;Kaakaojauhe, sokeroitu;FOOD;IND;100;INGRMIS;INGRTOT;CHOCOL;SUGARTOT
24;Sorbitoli;FOOD;IND;100;SWEAGE;INGRTOT;INGRMISC;MISCTOT
25;Liivate;FOOD;X;100;INGRMIS;INGRTOT;INGRMISC;MISCTOT
26;Hiiva, tuore;FOOD;X;100;INGRMIS;INGRTOT;INGRMISC;MISCTOT
27;Jauho, maissitärkkelys;FOOD;IND;100;STARCH;CERTOT;INGRMISC;MISCTOT
28;Sinappi;FOOD;IND;100;FLAVSAUC;FLAVTOT;SPISAUCE;MISCTOT
30;Ruokasuola, jodioitu;FOOD;IND;100;SALT;INGRTOT;SPICES;MISCTOT
31;Maustekastike, soijakastike;FOOD;IND;100;FLAVSAUC;FLAVTOT;SPISAUCE;MISCTOT
32;Suklaa, tumma;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
33;Suklaa, maitosuklaa;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
34;Halva seesamsiemenvalmiste;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
35;Makeinen, sokeriton;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
36;Mineraalisuola, keskiarvo;FOOD;IND;100;SALT;INGRTOT;SPICES;MISCTOT
37;Suklaa, sokeriton, keinotekoisesti makeutettu;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
38;Lihaliemijauhe/tiiviste;FOOD;IND;100;FLAVSAUC;FLAVTOT;SPISAUCE;MISCTOT
39;Makeutusaine, aspartaami, jauhe;FOOD;IND;100;SWEAGE;INGRTOT;INGRMISC;MISCTOT
40;Välipalapatukka, kuituinen;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
43;Ruismallas;FOOD;DRIE;100;INGRMIS;INGRTOT;INGRMISC;MISCTOT
44;Suklaapatukka täytesuklaa, keskiarvo;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
62;Ksylitolipastilli;FOOD;IND;100;SWEET;SUGARTOT;SWEET;SUGARTOT
63;Suklaapatukka vähärasvainen;FOOD;IND;100;CHOCOLAT;SUGARTOT;CHOCOL;SUGARTOT
