FOODID;FOODUNIT;MASS
1;PORTM;4,00
1;PORTL;8,00
1;KPL_S;2,00
1;KPL_M;3,00
1;KPL_L;4,00
1;DL;85,00
1;RKL;12,00
1;TL;4,00
1;PORTS;2,00
2;PORTL;8,00
2;PORTM;4,00
2;DL;85,00
2;RKL;12,00
2;TL;4,00
2;PORTS;2,00
3;DL;140,00
3;RKL;20,00
3;TL;6,50
3;PORTS;5,00
3;PORTM;15,00
3;PORTL;30,00
4;DL;140,00
4;RKL;20,00
4;TL;6,50
4;PORTS;5,00
4;PORTM;15,00
4;PORTL;30,00
5;KPL_S;2,00
5;KPL_M;3,00
5;KPL_L;7,50
5;DL;45,00
5;PORTS;30,00
5;PORTM;80,00
5;PORTL;140,00
6;KPL_S;100,00
6;KPL_M;170,00
6;KPL_L;300,00
6;PORTS;40,00
6;PORTM;100,00
6;PORTL;200,00
7;PORTL;100,00
7;KPL_M;8,00
7;PORTS;15,00
7;PORTM;30,00
8;KPL_M;4,00
8;PORTS;15,00
8;PORTM;40,00
8;PORTL;80,00
9;KPL_L;30,00
9;PORTS;30,00
9;PORTM;80,00
9;PORTL;140,00
10;PORTL;65,00
10;PORTM;20,00
10;PORTS;10,00
10;RKL;20,00
11;KPL_M;5,00
11;PORTS;30,00
11;PORTM;80,00
11;PORTL;140,00
12;KPL_M;0,50
12;PORTS;30,00
12;PORTM;80,00
12;PORTL;140,00
14;KPL_S;20,00
14;KPL_M;45,00
14;KPL_L;60,00
14;PORTS;20,00
14;PORTM;40,00
14;PORTL;80,00
20;DL;40,00
20;RKL;6,00
20;TL;3,00
20;PORTM;20,00
20;PORTL;30,00
20;PORTS;12,00
21;DL;40,00
21;RKL;6,00
21;TL;3,00
21;PORTS;12,00
21;PORTM;20,00
21;PORTL;30,00
24;PORTL;3,00
24;PORTM;2,00
24;PORTS;1,00
25;RKL;9,00
25;TL;3,00
25;PORTS;5,00
25;PORTM;15,00
25;PORTL;30,00
26;KPL_M;50,00
26;PORTL;30,00
26;PORTM;15,00
26;PORTS;5,00
27;DL;55,00
27;RKL;7,00
27;PORTL;30,00
27;PORTM;15,00
27;PORTS;5,00
28;DL;110,00
28;RKL;16,00
28;TL;5,00
28;PORTS;5,00
28;PORTL;30,00
28;PORTM;10,00
30;DL;125,00
30;RKL;20,00
30;TL;6,50
30;PORTS;1,00
30;PORTM;2,00
30;PORTL;3,00
31;DL;120,00
31;RKL;18,00
31;TL;6,00
31;PORTS;5,00
31;PORTM;15,00
31;PORTL;30,00
32;KPL_S;45,00
32;KPL_M;100,00
32;KPL_L;200,00
32;PORTS;15,00
32;PORTM;30,00
32;PORTL;100,00
33;PORTS;15,00
33;PORTM;30,00
33;PORTL;100,00
33;KPL_S;45,00
33;KPL_M;100,00
33;KPL_L;200,00
34;PORTM;20,00
34;PORTS;10,00
34;DL;100,00
34;RKL;15,00
34;PORTL;30,00
35;KPL_S;2,00
35;KPL_M;3,00
35;KPL_L;7,50
35;PORTS;30,00
35;PORTM;80,00
35;PORTL;140,00
36;DL;125,00
36;RKL;20,00
36;TL;6,50
36;PORTS;1,00
36;PORTM;2,00
36;PORTL;3,00
37;KPL_S;45,00
37;KPL_M;100,00
37;PORTS;15,00
37;PORTM;30,00
37;PORTL;100,00
38;DL;75,00
38;RKL;11,00
38;TL;3,50
38;PORTS;5,00
38;PORTM;15,00
38;PORTL;30,00
39;TL;0,50
39;PORTS;0,10
39;PORTM;0,30
39;PORTL;0,50
40;KPL_M;30,00
40;PORTS;30,00
40;PORTM;60,00
40;PORTL;120,00
43;PORTS;5,00
43;PORTM;15,00
43;PORTL;30,00
44;KPL_S;20,00
44;KPL_M;45,00
44;KPL_L;60,00
44;PORTS;20,00
44;PORTM;40,00
44;PORTL;80,00
62;PORTL;5,00
62;PORTS;1,00
62;PORTM;2,00
62;KPL_M;2,50
63;KPL_S;20,00
63;KPL_M;45,00
63;KPL_L;60,00
63;PORTS;20,00
63;PORTM;40,00
63;PORTL;80,00
65;PORTM;2,00
65;KPL_M;1,00
65;PORTS;1,00
65;PORTL;5,00
66;PORTM;2,00
66;KPL_M;3,00
66;PORTS;1,00
66;PORTL;5,00
68;DL;55,00
68;RKL;8,00
68;PORTS;15,00
68;PORTM;25,00
68;PORTL;35,00
69;KPL_M;1,00
69;PORTS;30,00
69;PORTM;80,00
69;PORTL;140,00
70;KPL_M;0,10
70;TL;0,50
70;PORTS;0,10
70;PORTM;0,30
70;PORTL;0,50
73;KPL_M;3,00
73;PORTS;20,00
73;PORTM;50,00
73;PORTL;100,00
74;RKL;15,00
74;TL;5,00
74;PORTS;5,00
74;PORTM;15,00
74;PORTL;30,00
75;DL;100,00
75;RKL;15,00
75;TL;5,00
75;PORTS;200,00
75;PORTM;300,00
75;PORTL;400,00
79;DL;125,00
79;RKL;20,00
79;PORTS;1,00
79;PORTM;2,00
79;PORTL;3,00
79;TL;6,50
100;DL;55,00
100;RKL;8,00
100;PORTS;15,00
100;PORTM;25,00
100;PORTL;35,00
103;DL;30,00
103;RKL;4,50
103;PORTS;15,00
103;PORTM;25,00
103;PORTL;35,00
110;DL;65,00
110;RKL;10,00
110;PORTS;15,00
110;PORTM;25,00
110;PORTL;35,00
111;DL;55,00
111;RKL;9,00
111;TL;3,00
111;PORTS;15,00
111;PORTM;25,00
111;PORTL;35,00
112;DL;100,00
112;RKL;15,00
112;PORTS;15,00
112;PORTM;25,00
112;PORTL;35,00
113;DL;100,00
113;RKL;15,00
113;PORTS;15,00
113;PORTM;25,00
113;PORTL;35,00
114;DL;30,00
114;RKL;4,50
114;PORTS;15,00
114;PORTM;25,00
114;PORTL;35,00
115;DL;25,00
115;RKL;5,00
115;TL;2,00
115;PORTS;15,00
115;PORTM;25,00
115;PORTL;35,00
116;DL;20,00
116;RKL;3,00
116;PORTS;15,00
116;PORTM;25,00
116;PORTL;35,00
117;DL;55,00
117;RKL;7,50
117;PORTS;55,00
117;KPL_M;70,00
117;PORTL;80,00
119;DL;55,00
119;RKL;7,50
119;PORTS;55,00
119;PORTM;70,00
119;PORTL;80,00
120;PORTM;70,00
120;PORTL;80,00
120;PORTS;55,00
121;DL;60,00
121;PORTS;55,00
121;PORTM;70,00
121;PORTL;80,00
124;DL;55,00
124;RKL;9,00
124;PORTS;15,00
124;PORTM;25,00
124;PORTL;35,00
125;DL;55,00
125;RKL;9,00
125;PORTS;15,00
125;PORTM;25,00
125;PORTL;35,00
126;DL;50,00
126;RKL;7,00
126;PORTS;15,00
126;PORTM;25,00
126;PORTL;35,00
133;PORTS;3,50
133;PORTM;8,50
133;PORTL;17,00
133;KPL_S;3,50
133;KPL_M;8,50
133;KPL_L;11,00
142;DL;70,00
142;RKL;10,50
142;TL;3,50
142;PORTS;15,00
142;PORTM;25,00
142;PORTL;35,00
150;DL;55,00
150;RKL;8,00
150;PORTS;15,00
150;PORTM;25,00
150;PORTL;35,00
151;DL;85,00
151;RKL;12,50
151;PORTS;15,00
151;PORTM;25,00
151;PORTL;35,00
152;DL;35,00
152;RKL;5,00
152;PORTS;15,00
152;PORTM;25,00
152;PORTL;35,00
153;DL;40,00
153;RKL;6,00
153;PORTS;15,00
153;PORTM;25,00
153;PORTL;35,00
154;DL;70,00
154;RKL;11,00
154;PORTS;15,00
154;PORTM;25,00
154;PORTL;35,00
156;DL;85,00
156;RKL;12,50
156;PORTM;70,00
156;PORTS;50,00
156;PORTL;100,00
158;PORTL;100,00
158;DL;85,00
158;RKL;12,50
158;PORTS;50,00
158;PORTM;70,00
160;DL;80,00
160;RKL;12,00
160;PORTS;15,00
160;PORTM;25,00
160;PORTL;35,00
161;DL;75,00
161;RKL;11,00
161;PORTS;15,00
161;PORTM;25,00
161;PORTL;35,00
162;DL;60,00
162;RKL;9,50
162;PORTS;15,00
162;PORTM;25,00
162;PORTL;35,00
167;PORTS;15,00
167;PORTM;25,00
167;PORTL;35,00
168;PORTS;5,00
168;PORTM;15,00
